18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 1, Xp 345 | Xp Modification Required: Level 1, Xp 3750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 2, Xp 345 | Xp Modification Required: Level 1, Xp 3750
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 14, Xp 450 | Xp Modification Required: Level 1, Xp 21250
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 16, Xp 450 | Xp Modification Required: Level 1, Xp 21250
18980 Rebirths can glitch on Muscle King Rock | Stats per punch [+5] | Level 20, Xp 1250 | Xp Modification Required: Level 1, Xp 1250
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 20, Xp 1250 | Xp Modification Required: Level 1, Xp 1250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 20, Xp 1250 | Xp Modification Required: Level 1, Xp 1250
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 20, Xp 1250 | Xp Modification Required: Level 1, Xp 1250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 20, Xp 1250 | Xp Modification Required: Level 1, Xp 1250
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 20, Xp 1250 | Xp Modification Required: Level 1, Xp 1250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 20, Xp 1250 | Xp Modification Required: Level 1, Xp 1250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 20, Xp 1250 | Xp Modification Required: Level 1, Xp 1250
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 18, Xp 135 | Xp Modification Required: Level 1, Xp 23750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 18, Xp 135 | Xp Modification Required: Level 1, Xp 23750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 160 | Xp Modification Required: Level 1, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 6, Xp 360 | Xp Modification Required: Level 1, Xp 8750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 9, Xp 720 | Xp Modification Required: Level 1, Xp 12500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 5, Xp 820 | Xp Modification Required: Level 1, Xp 10000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 6, Xp 820 | Xp Modification Required: Level 1, Xp 10000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 7, Xp 820 | Xp Modification Required: Level 1, Xp 10000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 7, Xp 820 | Xp Modification Required: Level 1, Xp 10000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 7, Xp 820 | Xp Modification Required: Level 1, Xp 10000
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 8, Xp 850 | Xp Modification Required: Level 1, Xp 15000
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 11, Xp 850 | Xp Modification Required: Level 1, Xp 15000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 5, Xp 1150 | Xp Modification Required: Level 1, Xp 7500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 12, Xp 1210 | Xp Modification Required: Level 1, Xp 17500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 13, Xp 1210 | Xp Modification Required: Level 1, Xp 17500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 13, Xp 1210 | Xp Modification Required: Level 1, Xp 17500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 13, Xp 1210 | Xp Modification Required: Level 1, Xp 17500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 2, Xp 1480 | Xp Modification Required: Level 1, Xp 3750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 3, Xp 1710 | Xp Modification Required: Level 1, Xp 5000
18980 Rebirths can glitch on Muscle King Rock | Stats per punch [+5] | Level 20, Xp 2500 | Xp Modification Required: Level 1, Xp 2500
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 20, Xp 2500 | Xp Modification Required: Level 1, Xp 2500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 20, Xp 2500 | Xp Modification Required: Level 1, Xp 2500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 20, Xp 2500 | Xp Modification Required: Level 1, Xp 2500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 20, Xp 2500 | Xp Modification Required: Level 1, Xp 2500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 20, Xp 2500 | Xp Modification Required: Level 1, Xp 2500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 20, Xp 2500 | Xp Modification Required: Level 1, Xp 2500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 20, Xp 2500 | Xp Modification Required: Level 1, Xp 2500
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 8, Xp 30 | Xp Modification Required: Level 2, Xp 11250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 10, Xp 45 | Xp Modification Required: Level 2, Xp 13750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 10, Xp 45 | Xp Modification Required: Level 2, Xp 13750
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 17, Xp 120 | Xp Modification Required: Level 2, Xp 22500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 8, Xp 605 | Xp Modification Required: Level 2, Xp 12500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 9, Xp 605 | Xp Modification Required: Level 2, Xp 12500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 9, Xp 605 | Xp Modification Required: Level 2, Xp 12500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 1, Xp 690 | Xp Modification Required: Level 2, Xp 6250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 3, Xp 690 | Xp Modification Required: Level 2, Xp 6250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 4, Xp 690 | Xp Modification Required: Level 2, Xp 6250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 4, Xp 690 | Xp Modification Required: Level 2, Xp 6250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 11, Xp 735 | Xp Modification Required: Level 2, Xp 15000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 11, Xp 735 | Xp Modification Required: Level 2, Xp 15000
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 1, Xp 1035 | Xp Modification Required: Level 2, Xp 7500
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 4, Xp 1035 | Xp Modification Required: Level 2, Xp 7500
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 5, Xp 1035 | Xp Modification Required: Level 2, Xp 7500
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 19, Xp 1170 | Xp Modification Required: Level 2, Xp 25000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 19, Xp 1170 | Xp Modification Required: Level 2, Xp 25000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 19, Xp 1170 | Xp Modification Required: Level 2, Xp 25000
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 16, Xp 1470 | Xp Modification Required: Level 2, Xp 21250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 16, Xp 1470 | Xp Modification Required: Level 2, Xp 21250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 1, Xp 1595 | Xp Modification Required: Level 2, Xp 5000
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 3, Xp 1595 | Xp Modification Required: Level 2, Xp 5000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 15, Xp 1685 | Xp Modification Required: Level 2, Xp 20000
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 8, Xp 2415 | Xp Modification Required: Level 2, Xp 11250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 8, Xp 2415 | Xp Modification Required: Level 2, Xp 11250
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 10, Xp 2430 | Xp Modification Required: Level 2, Xp 13750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 10, Xp 2430 | Xp Modification Required: Level 2, Xp 13750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 17, Xp 2505 | Xp Modification Required: Level 2, Xp 22500
18980 Rebirths can glitch on Mythical Gym Rock | Stats per punch [+5] | Level 4, Xp 2630 | Xp Modification Required: Level 2, Xp 8750
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 5, Xp 2630 | Xp Modification Required: Level 2, Xp 8750
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 6, Xp 2630 | Xp Modification Required: Level 2, Xp 8750
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 6, Xp 2630 | Xp Modification Required: Level 2, Xp 8750
18980 Rebirths can glitch on Eternal Gym Rock | Stats per punch [+5] | Level 11, Xp 2675 | Xp Modification Required: Level 2, Xp 16250
18980 Rebirths can glitch on Frost Gym Rock | Stats per punch [+5] | Level 12, Xp 2675 | Xp Modification Required: Level 2, Xp 16250
18980 Rebirths can glitch on 100 Rock | Stats per punch [+5] | Level 12, Xp 2675 | Xp Modification Required: Level 2, Xp 16250
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 9, Xp 2990 | Xp Modification Required: Level 2, Xp 12500
18980 Rebirths can glitch on Golden Rock | Stats per punch [+5] | Level 7, Xp 3090 | Xp Modification Required: Level 2, Xp 10000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 7, Xp 3090 | Xp Modification Required: Level 2, Xp 10000
18980 Rebirths can glitch on 10 Rock | Stats per punch [+5] | Level 11, Xp 3120 | Xp Modification Required: Level 2, Xp 15000
18980 Rebirths can glitch on Legends Gym Rock | Stats per punch [+5] | Level 12, Xp 3150 | Xp Modification Required: Level 2, Xp 18750
