80 [Muscle King] +5 Stats per punch, [Darkstar Level 1]
280 [Muscle King] +10 Stats per punch, [Darkstar Level 1]
480 [Legends Gym] +5 Stats per punch, [Darkstar Level 1]
580 [Muscle King] +15 Stats per punch, [Darkstar Level 1]
980 [Muscle King] +20 Stats per punch, [Darkstar Level 1]
1480 [Muscle King] +25 Stats per punch, [Darkstar Level 1]
1480 [Legends Gym] +10 Stats per punch, [Darkstar Level 1]
2080 [Muscle King] +30 Stats per punch, [Darkstar Level 1]
2780 [Muscle King] +35 Stats per punch, [Darkstar Level 1]
2980 [Legends Gym] +15 Stats per punch, [Darkstar Level 1]
3580 [Muscle King] +40 Stats per punch, [Darkstar Level 1]
4480 [Muscle King] +45 Stats per punch, [Darkstar Level 1]
4980 [Legends Gym] +20 Stats per punch, [Darkstar Level 1]
4980 [Mythical Gym] +10 Stats per punch, [Darkstar Level 1]
5480 [Muscle King] +50 Stats per punch, [Darkstar Level 1]
6230 [5K Durability Rock] +5 Stats per punch, [Darkstar Level 1]
6580 [Muscle King] +55 Stats per punch, [Darkstar Level 1]
7480 [Legends Gym] +25 Stats per punch, [Darkstar Level 1]
7780 [Muscle King] +60 Stats per punch, [Darkstar Level 1]
9080 [Muscle King] +65 Stats per punch, [Darkstar Level 1]
9980 [Mythical Gym] +15 Stats per punch, [Darkstar Level 1]
9980 [Frost Gym] +10 Stats per punch, [Darkstar Level 1]
10480 [Muscle King] +70 Stats per punch, [Darkstar Level 1]
10480 [Legends Gym] +30 Stats per punch, [Darkstar Level 1]
11980 [Muscle King] +75 Stats per punch, [Darkstar Level 1]
13580 [Muscle King] +80 Stats per punch, [Darkstar Level 1]
13980 [Legends Gym] +35 Stats per punch, [Darkstar Level 1]
15280 [Muscle King] +85 Stats per punch, [Darkstar Level 1]
17080 [Muscle King] +90 Stats per punch, [Darkstar Level 1]
17980 [Legends Gym] +40 Stats per punch, [Darkstar Level 1]
18730 [5K Durability Rock] +10 Stats per punch, [Darkstar Level 1]
18980 [Muscle King] +95 Stats per punch, [Darkstar Level 1]
19980 [Frost Gym] +15 Stats per punch, [Darkstar Level 1]
22480 [Legends Gym] +45 Stats per punch, [Darkstar Level 1]
24980 [Mythical Gym] +25 Stats per punch, [Darkstar Level 1]
24980 [10 Durability Rock] +5 Stats per punch, [Darkstar Level 1]
27480 [Legends Gym] +50 Stats per punch, [Darkstar Level 1]
32980 [Legends Gym] +55 Stats per punch, [Darkstar Level 1]
34980 [Mythical Gym] +30 Stats per punch, [Darkstar Level 1]
37480 [5K Durability Rock] +15 Stats per punch, [Darkstar Level 1]
38980 [Legends Gym] +60 Stats per punch, [Darkstar Level 1]
39980 [Eternal Gym] +40 Stats per punch, [Darkstar Level 1]
45480 [Legends Gym] +65 Stats per punch, [Darkstar Level 1]
49980 [Eternal Gym] +45 Stats per punch, [Darkstar Level 1]
49980 [Frost Gym] +25 Stats per punch, [Darkstar Level 1]
49980 [100 Durability Rock] +10 Stats per punch, [Darkstar Level 1]
49980 [Tiny Gym Rock] +5 Stats per punch, [Darkstar Level 1]
52480 [Legends Gym] +70 Stats per punch, [Darkstar Level 1]
59980 [Legends Gym] +75 Stats per punch, [Darkstar Level 1]
59980 [Mythical Gym] +40 Stats per punch, [Darkstar Level 1]
62480 [5K Durability Rock] +20 Stats per punch, [Darkstar Level 1]
67980 [Legends Gym] +80 Stats per punch, [Darkstar Level 1]
69980 [Frost Gym] +30 Stats per punch, [Darkstar Level 1]
74980 [Mythical Gym] +45 Stats per punch, [Darkstar Level 1]
74980 [10 Durability Rock] +10 Stats per punch, [Darkstar Level 1]
76480 [Legends Gym] +85 Stats per punch, [Darkstar Level 1]
85480 [Legends Gym] +90 Stats per punch, [Darkstar Level 1]
93730 [5K Durability Rock] +25 Stats per punch, [Darkstar Level 1]
94980 [Legends Gym] +95 Stats per punch, [Darkstar Level 1]
99980 [100 Durability Rock] +15 Stats per punch, [Darkstar Level 1]
109980 [Mythical Gym] +55 Stats per punch, [Darkstar Level 1]
119980 [Frost Gym] +40 Stats per punch, [Darkstar Level 1]
129980 [Mythical Gym] +60 Stats per punch, [Darkstar Level 1]
131230 [5K Durability Rock] +30 Stats per punch, [Darkstar Level 1]
149980 [Frost Gym] +45 Stats per punch, [Darkstar Level 1]
149980 [10 Durability Rock] +15 Stats per punch, [Darkstar Level 1]
149980 [Tiny Gym Rock] +10 Stats per punch, [Darkstar Level 1]
169980 [Eternal Gym] +85 Stats per punch, [Darkstar Level 1]
174980 [Mythical Gym] +70 Stats per punch, [Darkstar Level 1]
174980 [5K Durability Rock] +35 Stats per punch, [Darkstar Level 1]
189980 [Eternal Gym] +90 Stats per punch, [Darkstar Level 1]
199980 [Mythical Gym] +75 Stats per punch, [Darkstar Level 1]
219980 [Frost Gym] +55 Stats per punch, [Darkstar Level 1]
224980 [5K Durability Rock] +40 Stats per punch, [Darkstar Level 1]
249980 [100 Durability Rock] +25 Stats per punch, [Darkstar Level 1]
249980 [10 Durability Rock] +20 Stats per punch, [Darkstar Level 1]
254980 [Mythical Gym] +85 Stats per punch, [Darkstar Level 1]
259980 [Frost Gym] +60 Stats per punch, [Darkstar Level 1]
281230 [5K Durability Rock] +45 Stats per punch, [Darkstar Level 1]
284980 [Mythical Gym] +90 Stats per punch, [Darkstar Level 1]
299980 [Tiny Gym Rock] +15 Stats per punch, [Darkstar Level 1]
343730 [5K Durability Rock] +50 Stats per punch, [Darkstar Level 1]
349980 [Frost Gym] +70 Stats per punch, [Darkstar Level 1]
349980 [100 Durability Rock] +30 Stats per punch, [Darkstar Level 1]
374980 [10 Durability Rock] +25 Stats per punch, [Darkstar Level 1]
399980 [Frost Gym] +75 Stats per punch, [Darkstar Level 1]
412480 [5K Durability Rock] +55 Stats per punch, [Darkstar Level 1]
487480 [5K Durability Rock] +60 Stats per punch, [Darkstar Level 1]
499980 [Tiny Gym Rock] +20 Stats per punch, [Darkstar Level 1]
509980 [Frost Gym] +85 Stats per punch, [Darkstar Level 1]
524980 [10 Durability Rock] +30 Stats per punch, [Darkstar Level 1]
568730 [5K Durability Rock] +65 Stats per punch, [Darkstar Level 1]
569980 [Frost Gym] +90 Stats per punch, [Darkstar Level 1]
599980 [100 Durability Rock] +40 Stats per punch, [Darkstar Level 1]
656230 [5K Durability Rock] +70 Stats per punch, [Darkstar Level 1]
699980 [10 Durability Rock] +35 Stats per punch, [Darkstar Level 1]
749980 [5K Durability Rock] +75 Stats per punch, [Darkstar Level 1]
749980 [100 Durability Rock] +45 Stats per punch, [Darkstar Level 1]
749980 [Tiny Gym Rock] +25 Stats per punch, [Darkstar Level 1]
849980 [5K Durability Rock] +80 Stats per punch, [Darkstar Level 1]
899980 [10 Durability Rock] +40 Stats per punch, [Darkstar Level 1]
956230 [5K Durability Rock] +85 Stats per punch, [Darkstar Level 1]
1049980 [Tiny Gym Rock] +30 Stats per punch, [Darkstar Level 1]
1068730 [5K Durability Rock] +90 Stats per punch, [Darkstar Level 1]
1099980 [100 Durability Rock] +55 Stats per punch, [Darkstar Level 1]
1124980 [10 Durability Rock] +45 Stats per punch, [Darkstar Level 1]
1187480 [5K Durability Rock] +95 Stats per punch, [Darkstar Level 1]
1299980 [100 Durability Rock] +60 Stats per punch, [Darkstar Level 1]
1374980 [10 Durability Rock] +50 Stats per punch, [Darkstar Level 1]
1399980 [Tiny Gym Rock] +35 Stats per punch, [Darkstar Level 1]
1649980 [10 Durability Rock] +55 Stats per punch, [Darkstar Level 1]
1749980 [100 Durability Rock] +70 Stats per punch, [Darkstar Level 1]
1799980 [Tiny Gym Rock] +40 Stats per punch, [Darkstar Level 1]
1949980 [10 Durability Rock] +60 Stats per punch, [Darkstar Level 1]
1999980 [100 Durability Rock] +75 Stats per punch, [Darkstar Level 1]
2249980 [Tiny Gym Rock] +45 Stats per punch, [Darkstar Level 1]
2274980 [10 Durability Rock] +65 Stats per punch, [Darkstar Level 1]
2549980 [100 Durability Rock] +85 Stats per punch, [Darkstar Level 1]
2624980 [10 Durability Rock] +70 Stats per punch, [Darkstar Level 1]
2749980 [Tiny Gym Rock] +50 Stats per punch, [Darkstar Level 1]
2849980 [100 Durability Rock] +90 Stats per punch, [Darkstar Level 1]
2999980 [10 Durability Rock] +75 Stats per punch, [Darkstar Level 1]
3299980 [Tiny Gym Rock] +55 Stats per punch, [Darkstar Level 1]
3399980 [10 Durability Rock] +80 Stats per punch, [Darkstar Level 1]
3824980 [10 Durability Rock] +85 Stats per punch, [Darkstar Level 1]
3899980 [Tiny Gym Rock] +60 Stats per punch, [Darkstar Level 1]
4274980 [10 Durability Rock] +90 Stats per punch, [Darkstar Level 1]
4549980 [Tiny Gym Rock] +65 Stats per punch, [Darkstar Level 1]
4749980 [10 Durability Rock] +95 Stats per punch, [Darkstar Level 1]
5249980 [Tiny Gym Rock] +70 Stats per punch, [Darkstar Level 1]
5999980 [Tiny Gym Rock] +75 Stats per punch, [Darkstar Level 1]
6799980 [Tiny Gym Rock] +80 Stats per punch, [Darkstar Level 1]
7649980 [Tiny Gym Rock] +85 Stats per punch, [Darkstar Level 1]
8549980 [Tiny Gym Rock] +90 Stats per punch, [Darkstar Level 1]
9499980 [Tiny Gym Rock] +95 Stats per punch, [Darkstar Level 1]
